Set,Rep ,Day,Arena,DGRP,Observation_title,Observation_order,video_file_name_convention,lunge_count,hold_count,tussle_count,court_dur_1m,court_dur_2males,aggr_dur_1male,aggr_dur_2males,wing_threat_dur,ceiling_dur,Threat_s_per_m,PhysicalAggression_s_per_m
4,A,4,1,373,A-D4-001,129,DGRP m-m D4-…,11,0,0,9.266,0,4.274,0,5.654,0,0.5654,0.4274
9,B,4,93,373,B-D4-093,297,M-M-D4-…,37,0,0,142.677,26.587,34.734,0,5.135,0,0.5135,3.4734
7,B,4,29,373,B-D4-029,244,M-M-D4-…,0,0,0,11.019,0,0,0,0,62.948,0,0
8,B,4,42,373,B-D4-042,258,M-M-D4-…,0,0,0,19.232,0,0,0,0,116.538,0,0
9,B,5,29,373,B-D5-029,324,M-M-D5-…,0,0,0,5.953,0,0,0,0,0,0,0
10,B,5,57,373,B-D5-057,355,M-M-D5-…,23,0,0,79.819,1.284,18.661,0,10.495,0,1.0495,1.8661
11,B,5,86,373,B-D5-086,385,M-M-D5-…,27,0,0,18.173,1.039,26.042,0,3.841,0,0.3841,2.6042
11,B,5,97,373,B-D5-097,390,M-M-D5-…,11,0,0,38.783,11.745,8.962,0,2.566,20.231,0.2566,0.8962
7,A,6,40,373,A-D6-040,248,DGRP m-m D6-…,0,0,0,152.451,167.916,0,0,0,0,0,0
8,A,6,99,373,A-D6-099,284,DGRP m-m D6-…,5,0,0,6.07,0,2.849,0,3.196,0,0.3196,0.2849
13,B,6,61,373,B-D6-061,453,M-M-D6-…,0,0,0,19.48,1.454,0,0,0,0,0,0
12,B,6,1,373,B-D6-001,398,M-M-D6-…,0,0,0,32.506,0.242,0,0,0,44.403,0,0
13,B,6,41,373,B-D6-041,434,M-M-D6-…,0,0,0,0,0,0,0,2.51,44.718,0.251,0
9,A,7,30,373,A-D7-030,315,DGRP m-m D7-…,4,0,0,202.278,184.753,3.803,0,2.824,1.808,0.2824,0.3803
10,A,8,21,373,A-D8-021,350,DGRP m-m D8-…,4,0,0,81.151,13.433,2.3,0,0,0,0,0.23
11,A,8,80,373,A-D8-080,380,DGRP m-m D8-…,23,0,0,38.911,4.242,19.805,0,2.938,0,0.2938,1.9805
12,A,9,1,373,A-D9-001,407,DGRP m-m D9-…,1,0,0,149.846,29.059,0.254,0,1.021,11.765,0.1021,0.0254
12,A,9,60,373,A-D9-060,429,DGRP m-m D9-…,1,0,0,179.948,219.001,0.243,0,0,0,0,0.0243
13,A,10,7,373,A-D10-007,461,DGRP m-m D10-…,41,1,0,51.448,3.042,44.447,0,51.452,0,5.1452,4.4447
1,A,1,31,375,A-D1-031,16,DGRP m-m D1-…,5,0,0,206.285,27.642,6.687,0,0,58.146,0,0.6687
1,B,1,32,375,B-D1-032,23,M-M-D1-…,0,0,0,1.066,0,0,0,0,0,0,0
2,A,2,22,375,A-D2-022,63,DGRP m-m D2-…,0,0,0,117.927,30.874,0,0,0,0,0,0
2,B,2,3,375,B-D2-003,55,M-M-D2-…,8,0,0,41.582,8.266,10.638,0,0,0,0,1.0638
3,B,2,73,375,B-D2-073,102,M-M-D2-…,0,0,0,280.728,116.354,0,0,0,0,0,0
4,B,2,107,375,B-D2-107,126,M-M-D2-…,24,0,0,187.262,70.346,9.704,0,8.178,0,0.8178,0.9704
3,B,2,54,375,B-D2-054,93,M-M-D2-…,0,0,0,204.586,131.532,0,0,0,26.39,0,0
3,A,3,12,375,A-D3-012,83,DGRP m-m D3-…,0,0,0,143.184,91.965,0,0,0,0,0,0
4,B,3,31,375,B-D3-031,156,M-M-D3-…,4,0,0,27.75,0,4.131,0,0,4.039,0,0.4131
6,B,3,80,375,B-D3-080,194,M-M-D3-…,2,0,0,163.883,137.68,1.054,0,0,21.092,0,0.1054
5,B,3,64,375,B-D3-064,180,M-M-D3-…,0,0,0,106.195,35.052,0,0,0,27.245,0,0
4,A,4,2,375,A-D4-002,130,DGRP m-m D4-…,23,0,0,108.067,52.224,17.673,0,0.259,0,0.0259,1.7673
7,B,4,13,375,B-D4-013,236,M-M-D4-…,0,0,0,0,0,0,0,0,0,0,0
8,B,4,69,375,B-D4-069,278,M-M-D4-…,0,0,0,18.926,0,0,0,0,27.898,0,0
8,B,4,62,375,B-D4-062,275,M-M-D4-…,2,0,0,170.521,222.427,0.74,0,3.089,34.559,0.3089,0.074
5,A,5,51,375,A-D5-051,186,DGRP m-m D5-…,27,2,0,0,112.465,24.701,0,8.96,0,0.896,2.4701
6,A,5,110,375,A-D5-110,211,DGRP m-m D5-…,39,0,0,211.391,41.751,24.374,1.533,0.267,0,0.0267,2.5907
11,B,5,90,375,B-D5-090,387,M-M-D5-…,5,0,0,1.271,0,3.33,0,0,0,0,0.333
9,B,5,6,375,B-D5-006,302,M-M-D5-…,9,0,0,39.003,0,4.601,1.533,0.51,13.312,0.051,0.6134
10,B,5,33,375,B-D5-033,335,M-M-D5-…,0,0,0,64.566,5.501,0,0,0,14.782,0,0
8,A,6,100,375,A-D6-100,285,DGRP m-m D6-…,1,0,0,298.888,82.041,0.172,0,0,9.691,0,0.0172
7,A,6,41,375,A-D6-041,249,DGRP m-m D6-…,0,0,0,251.339,42.63,0,0,0,43.621,0,0
12,B,6,17,375,B-D6-017,406,M-M-D6-…,15,2,0,9.912,0,22.181,0,2.431,0,0.2431,2.2181
13,B,6,33,375,B-D6-033,430,M-M-D6-…,13,0,0,90.5,5.262,14.56,0,10.955,13.279,1.0955,1.456
9,A,7,31,375,A-D7-031,316,DGRP m-m D7-…,0,0,0,254.908,81.214,0,0,0.244,0,0.0244,0
10,A,8,22,375,A-D8-022,351,DGRP m-m D8-…,0,0,0,184.257,38.123,0,0,0.516,0,0.0516,0
11,A,8,81,375,A-D8-081,381,DGRP m-m D8-…,5,0,0,86.836,7.431,1.523,0,1.522,0,0.1522,0.1523
13,A,9,61,375,A-D9-061,438,DGRP m-m D9-…,1,0,0,197.16,67.626,0.312,0,6.375,0,0.6375,0.0312
1,A,1,33,385,A-D1-033,17,DGRP m-m D1-…,0,0,0,189.17,22.924,0,0,0,0,0,0
1,B,1,35,385,B-D1-035,24,M-M-D1-…,57,6,0,25.942,3.601,114.83,22.67,42.153,0,4.2153,13.75
2,B,1,71,385,B-D1-071,43,M-M-D1-…,17,1,0,36.923,7.472,59.669,1.079,30.014,0,3.0014,6.0748
1,B,1,7,385,B-D1-007,8,M-M-D1-07-08,2,0,0,3.585,0,0.783,0,18.966,0.771,1.8966,0.0783
